Country/Region,Material Category,Material Subtype,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Use Case
Global,Metal,Wrought Aluminium,13.42,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, wrought alloy","Wrought Aluminium

✅ Suitable for catering equipment and interior elements where lightweight, corrosion resistance, and hygiene are essential. Ideal for applications such as utensils, trims, decorative panels, and kitchen equipment where ease of cleaning and non-reactivity with food are priorities. Its aesthetic appeal and formability make it a good choice for decorative interior fit-outs and non-structural elements.
❌ Not suitable for high-load structural furniture applications due to its lower strength compared to steel. Avoid using in furniture frames, supports, or environments requiring high mechanical durability, especially when aluminum's properties are not critical to performance."
China,Metal,Wrought Aluminium,22.44,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Aluminum,"Wrought Aluminium

✅ Suitable for catering equipment and interior elements where lightweight, corrosion resistance, and hygiene are essential. Ideal for applications such as utensils, trims, decorative panels, and kitchen equipment where ease of cleaning and non-reactivity with food are priorities. Its aesthetic appeal and formability make it a good choice for decorative interior fit-outs and non-structural elements.
❌ Not suitable for high-load structural furniture applications due to its lower strength compared to steel. Avoid using in furniture frames, supports, or environments requiring high mechanical durability, especially when aluminum's properties are not critical to performance."
Global,Metal,Aluminium Section Bar,0.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for section bar extrusion, aluminium","Aluminium Section Bar

✅ Suitable for lightweight structural applications in office and commercial furniture, interior fit-outs, and catering equipment where corrosion resistance, clean aesthetics, and ease of fabrication are priorities. Ideal for partitions, table frames, modular units, and portable catering setups where portability and visual design matter more than mechanical strength.
❌ Avoid in heavy-duty or high-impact applications (e.g., workbenches, heavy shelving) in furniture, interior fit-outs, and catering equipment due to lower strength and stiffness compared to steel. Not recommended for exposure to high temperatures or aggressive environments without further treatment, which can compromise the material's integrity and longevity."
Global,Metal,Cast Aluminium,6.44,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, cast alloy","Cast Aluminium

✅ Suitable for non-structural furniture components such as chair bases, table legs, and decorative fittings where moderate strength and corrosion resistance are required. Ideal for outdoor furniture and garden tools due to its excellent castability and resistance to weathering. 
❌ Not suitable for food-contact catering equipment due to potential hygiene concerns and lower surface finish quality. Also not recommended for high-precision interior elements or structural components where higher strength and surface finish are critical."
Global,Metal,Chromed Steel,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled","Chromed Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and cost-efficiency are essential, such as load-bearing frames. Chromed steel offers an aesthetic finish and moderate corrosion resistance, making it appropriate for indoor applications where moisture exposure is minimal. 
❌ Not suitable for catering equipment or environments with high moisture or corrosive conditions without additional protective coatings. Chromed steel has poor corrosion resistance in such settings and contributes to high embodied emissions, making it less sustainable for applications requiring frequent cleaning or exposure to food and liquids."
Global,Metal,Wrought Iron,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled","Wrought Iron

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and aesthetic appeal are essential. Ideal for decorative elements, such as railings and frames, where its malleability and classic appearance are valued. 
❌ Not suitable for catering equipment or moisture-prone interiors without protective coating due to poor corrosion resistance. High embodied emissions make it less ideal for sustainable projects unless recycled content is prioritized. Not recommended for environments where hygiene and corrosion resistance are critical, such as kitchens or outdoor settings, unless adequately treated or coated."
Global,Metal,Cast Iron,1.86,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for cast iron,"Cast Iron

✅ Suitable for heavy-duty furniture bases and interior elements that require high compressive strength and durability, such as radiators, structural supports, and industrial-style furniture. Cast iron's robustness makes it ideal for applications where weight and stability are prioritized. 
❌ Not suitable for catering equipment or fine interior finishes due to its high weight, brittleness, and susceptibility to corrosion without a protective coating. Additionally, its coarse texture and heavy appearance may not align with the aesthetic requirements of fine interior design."
Norway,Metal,Cast Iron,0.96,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Cast iron pipe,"Cast Iron

✅ Suitable for heavy-duty furniture bases and interior elements that require high compressive strength and durability, such as radiators, structural supports, and industrial-style furniture. Cast iron's robustness makes it ideal for applications where weight and stability are prioritized. 
❌ Not suitable for catering equipment or fine interior finishes due to its high weight, brittleness, and susceptibility to corrosion without a protective coating. Additionally, its coarse texture and heavy appearance may not align with the aesthetic requirements of fine interior design."
Rest-of-World,Metal,Brass,5.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards."
Switzerland,Metal,Brass,5.80,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards."
Global,Metal,Copper,6.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for copper, cathode","Copper

✅ Suitable for decorative furniture elements and interior fittings where excellent corrosion resistance, electrical conductivity, and aesthetic appeal are desired. Copper's antimicrobial properties also make it a good choice for touch surfaces in interior fit-outs. 
❌ Not suitable for structural furniture or catering equipment due to its high cost and lower mechanical strength compared to materials like steel or aluminum. Additionally, copper's softness makes it less ideal for applications requiring high durability or load-bearing capacity."
Global,Metal,Zinc,3.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for zinc,"Zinc

✅ Suitable for use as a corrosion protection coating on steel furniture, interior fit-outs, and catering equipment. Through the process of galvanization, zinc enhances the durability and lifespan of these items by providing a protective barrier against rust and environmental wear. Zinc can also be used in small components or fittings where corrosion resistance is critical, such as fasteners or connectors in furniture, interior fit-outs, and catering equipment.
❌ Not suitable as a primary structural material for furniture, interior fit-outs, or catering equipment due to its brittleness and low tensile strength. It lacks the necessary structural integrity for load-bearing applications. Direct application of zinc in large, visible surfaces or as a primary material in furniture, interior fit-outs, or catering equipment design is limited due to its aesthetic and mechanical properties."
Global,Metal,Titanium,47.19,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for titanium,"Titanium

✅ Suitable for high-end furniture and interior components where an exceptional strength-to-weight ratio, corrosion resistance, and long-term durability are critical. Ideal for luxury or bespoke projects that prioritize performance and longevity over cost. Specialized catering equipment that requires high durability and resistance to corrosion, particularly in environments exposed to harsh chemicals or extreme temperatures. 
❌ Not suitable for cost-sensitive furniture and interior fit-out projects due to the high cost of titanium and the significant emissions associated with its production. General catering equipment where cost efficiency is a priority, as the benefits of titanium may not justify the expense in standard applications."
Global,Metal,Mild Steel,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled","Mild Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that do not require exposure to moisture or corrosive environments. 
❌ Not suitable for catering equipment or moisture-prone interiors without additional protective coatings or treatments due to its poor corrosion resistance. Additionally, consider the high embodied emissions of mild steel when sustainability is a priority, and explore alternative materials with lower environmental impact for eco-friendly projects."
China,Metal,Galvanized Steel,4.30,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,Galvanized coated steel sheet metal,"Galvanized Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that require additional protection against corrosion, such as those in dry environments or with a protective coating applied. 
❌ Not suitable for catering equipment or environments prone to moisture and humidity without additional protective measures. Galvanized steel can corrode over time if exposed to moisture, and it has high embodied emissions, making it less ideal for applications where sustainability is a priority. Consider using stainless steel or other corrosion-resistant materials for these applications."
Global,Metal,Nickel,16.81,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for nickel, class 1","Nickel

✅ Suitable for use in stainless steel alloys for furniture and interior fit-outs where corrosion resistance, strength, and durability are critical. Nickel enhances the performance of stainless steel, making it ideal for environments that require long-lasting and low-maintenance materials. 
❌ Not suitable as a standalone material due to its high cost and significant environmental impact during extraction and processing. Additionally, nickel should not be used directly in catering equipment without being alloyed, as pure nickel can react with food and is not food-safe. Always ensure nickel is part of an appropriate alloy, such as stainless steel, to ensure safety and compliance with health standards."
Global,Plastic,Polypropylene (PP),3.16,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polypropylene, granulate","Polypropylene (PP)

✅ Suitable for molded furniture shells, internal panels, and flexible interior elements; also commonly used in catering containers, trays, or chairs due to chemical and moisture resistance. Low cost and moderate durability are strengths.
❌ Not suitable for high-stress mechanical parts or load-bearing frames; can deform under heat and stress. Sustainability profile limited by fossil sourcing and low recycling rates in furniture."
Global,Plastic,Acrylonitrile Butadiene Styrene (ABS),4.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for acrylonitrile-butadiene-styrene copolymer,"Acrylonitrile Butadiene Styrene (ABS)

✅ Suitable for rigid structural components in office furniture (e.g., arms, casings), interior accessories (e.g., hooks, bins), and food-safe enclosures in catering when appropriately certified. Excels where durability, impact resistance, and fine mold detail are required.
❌ Not suitable for visible surfaces in catering environments unless certified for hygiene due to limited chemical resistance and difficulty in post-consumer recycling. High fossil-based impact."
Rest-of-World,Plastic,Polyvinyl Chloride (PVC),3.08,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised","Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility."
Europe,Plastic,Polyvinyl Chloride (PVC),2.45,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised","Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility."
Rest-of-World,Plastic,Polycarbonate (PC),6.31,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics."
Europe,Plastic,Polycarbonate (PC),5.17,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics."
Global,Plastic,High-Density Polyethylene (HDPE),2.94,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, high density, granulate","High-Density Polyethylene (HDPE)

✅ Suitable for furniture, interior fit-outs, and catering equipment applications where lightweight, durable, and moisture-resistant materials are essential. Ideal for products such as food containers, trays, protective covers, outdoor furniture, and interior components due to its excellent chemical resistance, toughness, and ease of cleaning. HDPE's ability to withstand harsh environments makes it a practical choice for both indoor and outdoor settings.
❌ Not suitable for applications where environmental sustainability is a priority, such as projects requiring biodegradable materials or those with a focus on reducing carbon footprint. HDPE is derived from fossil fuels, typically lacks recycled content, and its production and disposal can contribute to environmental pollution. Consider alternatives like bioplastics or recycled materials for eco-conscious projects."
China,Plastic,Thermoplastic Polyurethane (TPU),5.00,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Thermoplastic Polyurethane (TPU),"Thermoplastic Polyurethane (TPU)

✅ Suitable for interior fit-outs and catering equipment applications requiring flexible, durable plastic components, such as edge trims, seals, protective bumpers, and moulded plastic parts that demand abrasion resistance, elasticity, and mechanical strength. TPU offers excellent versatility, toughness, and chemical resistance, making it ideal for applications where flexibility and durability are critical.
❌ Not suitable for applications where high thermal insulation is required (e.g., cold storage, insulated panels) or where biodegradability and recyclability are priorities. TPU is fossil-based and thermoplastic, and while recyclable, it may not align with sustainability goals if reducing embodied carbon is critical."
Rest-of-World,Plastic,Acrylic (PMMA),7.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and furniture applications where high transparency, light weight, and aesthetic appeal are prioritized. Common uses include display cases, decorative panels, partitions, and modern furniture elements that seek a glass-like appearance with lower weight and improved weathering resistance.
❌ Not suitable for applications requiring thermal insulation, structural load-bearing performance, or rigorous cleaning regimes, such as cold storage panels or catering equipment housings. Additionally, PMMA’s fossil-fuel origin, limited recyclability, and lack of biodegradability reduce its appeal for sustainability-focused projects."
Europe,Plastic,Acrylic (PMMA),6.93,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and furniture applications where high transparency, light weight, and aesthetic appeal are prioritized. Common uses include display cases, decorative panels, partitions, and modern furniture elements that seek a glass-like appearance with lower weight and improved weathering resistance.
❌ Not suitable for applications requiring thermal insulation, structural load-bearing performance, or rigorous cleaning regimes, such as cold storage panels or catering equipment housings. Additionally, PMMA’s fossil-fuel origin, limited recyclability, and lack of biodegradability reduce its appeal for sustainability-focused projects."
Rest-of-World,Plastic,Nylon (Polyamide),8.65,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes."
Europe,Plastic,Nylon (Polyamide),8.58,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes."
Global,Plastic,Polyethylene Terephthalate (PET),3.66,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade","Polyethylene Terephthalate (PET)

✅ Suitable for catering equipment and interior fit-out applications where food safety, lightweight properties, and durability are essential. Ideal for beverage containers and other food-contact items due to its excellent hygiene, chemical resistance, and clarity. PET is also suitable for certain interior fit-out applications where transparency and lightweight are desired, such as decorative panels or protective screens.
❌ Not suitable for furniture applications requiring high mechanical strength, rigidity, or environmental sustainability. PET is fossil-based, non-biodegradable, and typically has high emissions associated with its production. While PET can be recycled, the use of virgin bottle-grade PET often lacks recycled content, making it less favorable for sustainable projects. Consider alternative materials with higher recycled content or biodegradable options for environmentally focused projects."
Rest-of-World,Plastic,Expanded Polystyrene (EPS),3.83,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polystyrene, expandable","Expanded Polystyrene (EPS)

✅ Suitable for interior fit-outs and catering sectors where lightweight thermal and sound insulation is required, as well as for protective packaging due to its excellent insulation properties and low cost. EPS is particularly useful in applications where temporary or short-term solutions are needed, such as event setups or temporary installations. 
❌ Not suitable for furniture or long-term applications due to its high emissions during production, lack of biodegradability, and poor mechanical strength. EPS is not recommended for structural components or areas where durability and longevity are critical, as it can degrade over time and is not environmentally sustainable."
Global,Plastic,Low-Density Polyethylene (LDPE),3.07,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, low density, granulate","Low-Density Polyethylene (LDPE)

✅ Suitable for interior fit-outs and catering packaging applications where flexibility, moisture resistance, and cost-effectiveness are prioritized. Ideal for protective films, cable coatings, and disposable items such as food packaging and liners, where durability and environmental exposure are not critical concerns.
❌ Not suitable for furniture applications requiring high mechanical strength and durability, such as load-bearing components or long-term use items. Additionally, consider the environmental impact of LDPE, as it is derived from fossil fuels and can contribute to plastic waste if not properly managed or recycled."
Rest-of-World,Plastic,Melamine-Formaldehyde (MF),6.15,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes."
Europe,Plastic,Melamine-Formaldehyde (MF),5.78,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes."
Belgium,Plastic,Polyvinyl Butyral (PVB),2.54,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,SaflexTM LiteCarbonTM,"Polyvinyl Butyral (PVB)

✅ Suitable for applications in furniture and interior fit-outs where cushioning and sealing are required, thanks to its flexibility, impact resistance, and strong adhesion properties. In catering equipment, PVB can be used effectively for hygienic sealants and protective packaging due to its ability to form a tight seal and resist moisture. 
❌ Not suitable for applications demanding high structural strength, such as load-bearing furniture components, due to its limited rigidity. Additionally, PVB is not ideal for projects with strict sustainability goals, as it is derived from fossil fuels, is not biodegradable, and has a relatively high environmental impact during production. Consider alternative materials with lower environmental footprints for sustainable projects."
Global,Plastic,Thermoplastic Rubber (TPR),3.16,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for polypropylene, granulate","Thermoplastic Rubber (TPR)

✅ Suitable for applications in furniture, interiors, and PPE where cushioning, shock absorption, and sealing are required, thanks to TPR’s rubber-like flexibility, impact resistance, and moldability. In hospitality and catering environments, TPR is often used in soft-touch grips, anti-slip pads, and bumpers due to its durability, ease of cleaning, and skin-safe formulation.
❌ Not suitable for applications that demand high structural strength or long-term environmental performance. TPR’s fossil fuel-based composition and non-biodegradability contribute to higher environmental impact during production and disposal, making it less suitable for sustainability-focused designs."
Europe,Plastic,Phenolic Resin,1.382,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Formaldehyde-phenol resin for mineral wool,"✅ Suitable for use in construction, insulation, and engineered wood products, phenolic resin offers excellent thermal stability, chemical resistance, and adhesive strength. Its thermosetting nature makes it ideal for bonding mineral wool, producing plywood and high-pressure laminates, and manufacturing fire-resistant panels. In electrical and automotive industries, it is used in circuit boards, brake pads, and molded components, where heat resistance and dimensional stability are critical. Its performance in high-stress, high-temperature environments makes it a go-to material for structural and industrial applications.

❌ Not suitable for applications requiring flexibility, cushioning, or skin contact, as phenolic resin cures to a rigid, brittle state and contains reactive chemicals such as formaldehyde and phenol. It lacks the elasticity needed for sealing or shock absorption and is unsuitable for PPE or consumer-touch surfaces. Additionally, being non-recyclable and derived from fossil-based inputs, phenolic resin contributes to a higher environmental impact, making it less appropriate for circular or sustainability-focused designs."
Rest-of-World,Glass,Tempered Glass,1.08,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated","Tempered Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment where transparency, smooth finish, and rigidity are desired. Ideal for applications where visibility and aesthetic appeal are priorities, such as office partitions, retail display cases, tabletops, and protective covers for catering displays.
❌ Not suitable for thermal insulation or privacy applications, as it lacks coatings for energy performance or opacity. Additionally, not recommended for areas requiring soundproofing or where safety and impact resistance are critical without additional treatment or lamination, such as in high-traffic furniture or catering environments where durability and safety are paramount."
Europe,Glass,Tempered Glass,1.00,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated","Tempered Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment where transparency, smooth finish, and rigidity are desired. Ideal for applications where visibility and aesthetic appeal are priorities, such as office partitions, retail display cases, tabletops, and protective covers for catering displays.
❌ Not suitable for thermal insulation or privacy applications, as it lacks coatings for energy performance or opacity. Additionally, not recommended for areas requiring soundproofing or where safety and impact resistance are critical without additional treatment or lamination, such as in high-traffic furniture or catering environments where durability and safety are paramount."
China,Glass,Tempered Glass,0.52,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Tempered glass,"Tempered Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment where transparency, smooth finish, and rigidity are desired. Ideal for applications where visibility and aesthetic appeal are priorities, such as office partitions, retail display cases, tabletops, and protective covers for catering displays.
❌ Not suitable for thermal insulation or privacy applications, as it lacks coatings for energy performance or opacity. Additionally, not recommended for areas requiring soundproofing or where safety and impact resistance are critical without additional treatment or lamination, such as in high-traffic furniture or catering environments where durability and safety are paramount."
Global,Glass,Laminated Glass,1.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for glazing, double, U<1.1 W/m2K, laminated safety glass","Laminated Glass

✅ Suitable for interior fit-outs and catering equipment where safety, sound insulation, and energy efficiency are critical. Ideal for glazing in double-glazed units with a thermal transmittance of U<1.1 W/m2K, making it an excellent choice for exterior doors, partitions, and catering spaces that require enhanced security and acoustic performance, such as busy commercial kitchens or high-traffic public areas.
❌ Not suitable for furniture applications or lightweight interior fittings where transparency or cost-efficiency is prioritized. Its heavier weight and higher cost compared to standard glass make it less ideal for decorative interior panels or lightweight furniture components where ease of installation and budget constraints are key considerations."
Global,Glass,Frosted Glass,1.16,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Patterned Glass,"Frosted Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment areas where light diffusion and privacy are desired. Its patterned surface provides aesthetic appeal and moderate durability, making it ideal for non-structural applications such as interior partitions, decorative panels, and display cases. It complies with EN 572-5, ensuring quality for interior use.
❌ Not suitable for structural or exterior applications that require high impact resistance or thermal insulation. It lacks the necessary coatings and reinforcements typical of safety glass or energy-efficient glass, making it unsuitable for areas exposed to high stress, temperature variations, or outdoor environments."
Global,Glass,Clear Float Glass,1.08,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated","Clear Float Glass

✅ Suitable for use in interior fit-outs where transparency and a smooth finish are desired, such as in office partitions, retail display panels, and decorative surfaces. Can be used in furniture design for tabletops or cabinet doors where a sleek, modern aesthetic is required. 
❌ Not suitable for coatings that enhance energy performance, making it unsuitable for applications where thermal insulation is a priority. Due to its transparency, it is not suitable for areas requiring privacy unless combined with additional treatments or materials to provide opacity. Not recommended for use in catering equipment where durability and resistance to thermal shock are critical, as it may not withstand high temperatures or impact."
Europe,Glass,Clear Float Glass,1.00,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated","Clear Float Glass

✅ Suitable for use in interior fit-outs where transparency and a smooth finish are desired, such as in office partitions, retail display panels, and decorative surfaces. Can be used in furniture design for tabletops or cabinet doors where a sleek, modern aesthetic is required. 
❌ Not suitable for coatings that enhance energy performance, making it unsuitable for applications where thermal insulation is a priority. Due to its transparency, it is not suitable for areas requiring privacy unless combined with additional treatments or materials to provide opacity. Not recommended for use in catering equipment where durability and resistance to thermal shock are critical, as it may not withstand high temperatures or impact."
Egypt,Glass,Tinted Glass,1.72,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Body-tinted glass,"Tinted Glass

✅ Suitable for interior partitions, decorative furniture accents, and catering space facades where solar control, aesthetic enhancement, and colored glass effects are desired. Its tinting properties provide effective light filtering and visual appeal, making it suitable for environments where ambiance and design are prioritized.
❌ Not suitable for applications that require high recyclability or structural load-bearing capabilities, as it has limited recycling potential and does not offer significant mechanical strength. For furniture and interior fit-outs, it should be used in non-load-bearing roles, and for catering equipment, it should be limited to decorative or non-structural elements."
Global,Glass,Tinted Glass,2.10,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Tinted glass,"Tinted Glass

✅ Suitable for interior partitions, decorative furniture accents, and catering space facades where solar control, aesthetic enhancement, and colored glass effects are desired. Its tinting properties provide effective light filtering and visual appeal, making it suitable for environments where ambiance and design are prioritized.
❌ Not suitable for applications that require high recyclability or structural load-bearing capabilities, as it has limited recycling potential and does not offer significant mechanical strength. For furniture and interior fit-outs, it should be used in non-load-bearing roles, and for catering equipment, it should be limited to decorative or non-structural elements."
